Command,End Command,Context role,Placeholder,starts new paragraph?,ends paragraph?,Outline Level,Role,Role of Child elements,Number of Groups,Groups to parse,Parse Options?
\tilde{c},,,,,,,,,,,
\tilde{d},,,d̃,,,,,,,,
\tilde{e},,,ẽ,,,,,,,,
\tilde{f},,,,,,,,,,,
\tilde{g},,,,,,,,,,,
\tilde{h},,,,,,,,,,,
\tilde{i},,,ĩ,,,,,,,,
\tilde{j},,,,,,,,,,,
\tilde{k},,,,,,,,,,,
\tilde{l},,,,,,,,,,,
\tilde{m},,,,,,,,,,,
\tilde{n},,,ñ,,,,,,,,
\tilde{o},,,õ,,,,,,,,
\tilde{p},,,,,,,,,,,
\tilde{q},,,,,,,,,,,
\tilde{r},,,,,,,,,,,
\tilde{s},,,,,,,,,,,
\tilde{t},,,t̃,,,,,,,,
\tilde{u},,,ũ,,,,,,,,
\tilde{v},,,ṽ,,,,,,,,
\tilde{w},,,w̃,,,,,,,,
\tilde{x},,,,,,,,,,,
\tilde{y},,,,,,,,,,,
\tilde{z},,,,,,,,,,,
\tilde{\alpha},,,α̃,,,,,,,,
\tilde{\gamma},,,γ̃,,,,,,,,
\tilde{\phi},,,φ̃,,,,,,,,
\tilde{\epsilon},,,ε̃,,,,,,,,
,,,,,,,,,,,
\~{A},,,Ã,,,,,,,,
\~{a},,,ã,,,,,,,,
\~{E},,,Ẽ,,,,,,,,
\~{e},,,ẽ,,,,,,,,
\~{I},,,Ĩ,,,,,,,,
\~{\i},,,ĩ,,,,,,,,
\~{N},,,Ñ,,,,,,,,
\~{n},,,ñ,,,,,,,,
\~{O},,,Õ,,,,,,,,
\~{o},,,õ,,,,,,,,
\~{U},,,Ũ,,,,,,,,
\~{u},,,ũ,,,,,,,,
,,,,,,,,,,,
\bar,,,,,,,,,1,,
\bar{A},,,Ā,,,,,,,,
\bar{B},,,,,,,,,,,
\bar{C},,,,,,,,,,,
\bar{D},,,,,,,,,,,
\bar{E},,,Ē,,,,,,,,
\bar{F},,,,,,,,,,,
\bar{G},,,,,,,,,,,
\bar{H},,,,,,,,,,,
\bar{I},,,Ī,,,,,,,,
\bar{J},,,,,,,,,,,
\bar{K},,,,,,,,,,,
\bar{L},,,,,,,,,,,
\bar{M},,,,,,,,,,,
\bar{N},,,,,,,,,,,
\bar{O},,,Ō,,,,,,,,
\bar{P},,,,,,,,,,,
\bar{Q},,,,,,,,,,,
\bar{R},,,,,,,,,,,
\bar{S},,,,,,,,,,,
\bar{T},,,,,,,,,,,
\bar{U},,,Ū,,,,,,,,
\bar{V},,,,,,,,,,,
\bar{W},,,,,,,,,,,
\bar{X},,,,,,,,,,,
\bar{Y},,,,,,,,,,,
\bar{Z},,,,,,,,,,,
,,,,,,,,,,,
\bar{a},,,ā,,,,,,,,
\bar{b},,,,,,,,,,,
\bar{c},,,,,,,,,,,
\bar{d},,,,,,,,,,,
\bar{e},,,ē,,,,,,,,
\bar{f},,,,,,,,,,,
\bar{g},,,,,,,,,,,
\bar{h},,,,,,,,,,,
\bar{i},,,ī,,,,,,,,
\bar{j},,,,,,,,,,,
\bar{k},,,,,,,,,,,
\bar{l},,,,,,,,,,,
\bar{m},,,,,,,,,,,
\bar{n},,,,,,,,,,,
\bar{o},,,ō,,,,,,,,
\bar{p},,,,,,,,,,,
\bar{q},,,,,,,,,,,
\bar{r},,,,,,,,,,,
\bar{s},,,,,,,,,,,
\bar{t},,,,,,,,,,,
\bar{u},,,ū,,,,,,,,
\bar{v},,,,,,,,,,,
\bar{w},,,,,,,,,,,
\bar{x},,,,,,,,,,,
\bar{y},,,,,,,,,,,
\bar{z},,,,,,,,,,,
,,,,,,,,,,,
\overbar,,,,,,,,,1,,
\overbar{A},,,Ā,,,,,,,,
\overbar{B},,,,,,,,,,,
\overbar{C},,,,,,,,,,,
\overbar{D},,,,,,,,,,,
\overbar{E},,,Ē,,,,,,,,
\overbar{F},,,,,,,,,,,
\overbar{G},,,,,,,,,,,
\overbar{H},,,,,,,,,,,
\overbar{I},,,Ī,,,,,,,,
\overbar{J},,,,,,,,,,,
\overbar{K},,,,,,,,,,,
\overbar{L},,,,,,,,,,,
\overbar{M},,,,,,,,,,,
\overbar{N},,,,,,,,,,,
\overbar{O},,,Ō,,,,,,,,
\overbar{P},,,,,,,,,,,
\overbar{Q},,,,,,,,,,,
\overbar{R},,,,,,,,,,,
\overbar{S},,,,,,,,,,,
\overbar{T},,,,,,,,,,,
\overbar{U},,,Ū,,,,,,,,
\overbar{V},,,,,,,,,,,
\overbar{W},,,,,,,,,,,
\overbar{X},,,,,,,,,,,
\overbar{Y},,,,,,,,,,,
\overbar{Z},,,,,,,,,,,
,,,,,,,,,,,
\overbar{a},,,ā,,,,,,,,
\overbar{b},,,,,,,,,,,
\overbar{c},,,,,,,,,,,
\overbar{d},,,,,,,,,,,
\overbar{e},,,ē,,,,,,,,
\overbar{f},,,,,,,,,,,
\overbar{g},,,,,,,,,,,
\overbar{h},,,,,,,,,,,
\overbar{i},,,ī,,,,,,,,
\overbar{j},,,,,,,,,,,
\overbar{k},,,,,,,,,,,
\overbar{l},,,,,,,,,,,
\overbar{m},,,,,,,,,,,
\overbar{n},,,,,,,,,,,
\overbar{o},,,ō,,,,,,,,
\overbar{p},,,,,,,,,,,
\overbar{q},,,,,,,,,,,
\overbar{r},,,,,,,,,,,
\overbar{s},,,,,,,,,,,
\overbar{t},,,,,,,,,,,
\overbar{u},,,ū,,,,,,,,
\overbar{v},,,,,,,,,,,
\overbar{w},,,,,,,,,,,
\overbar{x},,,,,,,,,,,
\overbar{y},,,,,,,,,,,
\overbar{z},,,,,,,,,,,
,,,,,,,,,,,
\={A},,,Ā,,,,,,,,
\={a},,,ā,,,,,,,,
\={E},,,Ē,,,,,,,,
\={e},,,ē,,,,,,,,
\={I},,,Ī,,,,,,,,
\={i},,,ī,,,,,,,,
\={O},,,Ō,,,,,,,,
\={o},,,ō,,,,,,,,
\={U},,,Ū,,,,,,,,
\={u},,,ū,,,,,,,,
,,,,,,,,,,,
\ocirc,,,,,,,,,1,,
\ocirc{A},,,Å,,,,,,,,
\ocirc{B},,,,,,,,,,,
\ocirc{C},,,,,,,,,,,
\ocirc{D},,,,,,,,,,,
\ocirc{E},,,,,,,,,,,
\ocirc{F},,,,,,,,,,,
\ocirc{G},,,,,,,,,,,
\ocirc{H},,,,,,,,,,,
\ocirc{I},,,,,,,,,,,
\ocirc{J},,,,,,,,,,,
\ocirc{K},,,,,,,,,,,
\ocirc{L},,,,,,,,,,,
\ocirc{M},,,,,,,,,,,
\ocirc{N},,,,,,,,,,,
\ocirc{O},,,,,,,,,,,
\ocirc{P},,,,,,,,,,,
\ocirc{Q},,,,,,,,,,,
\ocirc{R},,,,,,,,,,,
\ocirc{S},,,,,,,,,,,
\ocirc{T},,,,,,,,,,,
\ocirc{U},,,,,,,,,,,
\ocirc{V},,,,,,,,,,,
\ocirc{W},,,,,,,,,,,
\ocirc{X},,,,,,,,,,,
\ocirc{Y},,,,,,,,,,,
\ocirc{Z},,,,,,,,,,,
,,,,,,,,,,,
\ocirc{a},,,å,,,,,,,,
\ocirc{b},,,,,,,,,,,
\ocirc{c},,,,,,,,,,,
\ocirc{d},,,,,,,,,,,
\ocirc{e},,,,,,,,,,,
\ocirc{f},,,,,,,,,,,
\ocirc{g},,,,,,,,,,,
\ocirc{h},,,,,,,,,,,
\ocirc{i},,,,,,,,,,,
\ocirc{j},,,,,,,,,,,
\ocirc{k},,,,,,,,,,,
\ocirc{l},,,,,,,,,,,
\ocirc{m},,,,,,,,,,,
\ocirc{n},,,,,,,,,,,
\ocirc{o},,,,,,,,,,,
\ocirc{p},,,,,,,,,,,
\ocirc{q},,,,,,,,,,,
\ocirc{r},,,,,,,,,,,
\ocirc{s},,,,,,,,,,,
\ocirc{t},,,,,,,,,,,
\ocirc{u},,,,,,,,,,,
\ocirc{v},,,,,,,,,,,
\ocirc{w},,,,,,,,,,,
\ocirc{x},,,,,,,,,,,
\ocirc{y},,,,,,,,,,,
\ocirc{z},,,,,,,,,,,
,,,,,,,,,,,
\r{A},,,Å,,,,,,,,
\r{a},,,å,,,,,,,,
,,,,,,,,,,,
\u{o},,,?,,,,,,,,
,,,,,,,,,,,
\cal,,,,,,,,,1,,
\cal{A},,,A,,,,,,,,
\cal{B},,,B,,,,,,,,
\cal{C},,,C,,,,,,,,
\cal{D},,,D,,,,,,,,
\cal{E},,,E,,,,,,,,
\cal{F},,,F,,,,,,,,
\cal{G},,,G,,,,,,,,
\cal{H},,,H,,,,,,,,
\cal{I},,,I,,,,,,,,
\cal{J},,,J,,,,,,,,
\cal{K},,,K,,,,,,,,
\cal{L},,,L,,,,,,,,
\cal{M},,,M,,,,,,,,
\cal{N},,,N,,,,,,,,
\cal{O},,,O,,,,,,,,
\cal{P},,,P,,,,,,,,
\cal{Q},,,Q,,,,,,,,
